task_id,attempt_count_for_task,selected_source_root,selected_run_dir,selected_trial_name,selected_trial_path,selected_started_at,selected_finished_at,reward,verify_status,verify_reward_present,ctrf_present,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names,reward_ctrf_consistent,normal_e2e_pass,clean_e2e_pass,outcome_bucket,harbor_exception,harbor_exception_type,harbor_exception_message,product_terminal_status,product_return_code,product_completion_claim,product_error_type,astra_final_state,astra_exit_code,interruption_kind,trajectory_capture_status,trajectory_capture_failed,trajectory_terminal_event,formal_score_eligible,evaluation_status,lifecycle_gate_passed,trigger_hit,timeout,timeout_or_deadline_suspected,timeout_observed,timeout_inferred,timeout_types,timeout_evidence,llm_request_timeout,llm_timeout_event_count,stream_transport_interruption_count,controller_deadline_suspected,product_timeout,verifier_timeout,adapter_timeout,configured_product_timeout_s,configured_llm_fallback_timeout_s,observed_llm_fallback_timeout_s,observed_llm_fallback_timeout_values,product_attempt_count,stream_transport_retry_count,stream_transport_recovered,stream_transport_retry_exhausted,stream_transport_retry_status,stream_transport_failure_classification,stream_transport_retry_skip_reason,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,product_attempt_duration_sum_s,llm_call_duration_sum_s,cost_usd,agentic_steps,tool_calls_started,tool_calls_completed,tool_calls_failed,tool_calls_skipped,tool_calls_terminal,tool_calls_unpaired,tool_terminal_orphan_count,tool_terminal_coverage,tool_call_failure_rate,tool_call_duration_sum_s,tool_duration_observed_calls,tool_duration_coverage,tool_breakdown,failed_tool_breakdown,tool_telemetry_status,tool_telemetry_source,model_activity_observed,llm_calls_with_input_usage,journal_pipeline_feedback_count,background_agent_result_count,token_input,token_fresh_input,token_cache_read,token_cache_creation,token_output,token_total,token_known_minimum,token_cache_share,token_source,token_detail_source,token_accounting_scope,token_accounting_status,token_sources_consistent,token_is_lower_bound,token_retry_attempts_included,token_reconciliation_delta,token_server_status,token_server_request_count,token_server_input,token_server_fresh_input,token_server_cache_read,token_server_cache_creation,token_server_output,token_server_total,token_server_components_consistent,token_server_local_trace_delta,token_trace_input,token_stdout_input,token_stdout_fresh_input,token_stdout_cache_read,token_stdout_cache_creation,token_stdout_output,token_journal_input,token_journal_output,token_pre_final_retry_input,token_pre_final_retry_output,token_reconstructed_input,token_reconstructed_output,token_harbor_input,token_harbor_cache_read,token_harbor_output
adaptive-rejection-sampler,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-07-31__16-47-36,adaptive-rejection-sampler__zWvbxZ5,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5,2026-07-31T08:47:37.024402Z,2026-07-31T09:23:24.017794Z,0,no_pass,True,True,9,0,9,0,test_outputs.py::test_ars_function_exists; test_outputs.py::test_can_generate_standard_distribution_samples; test_outputs.py::test_has_test_function; test_outputs.py::test_formal_testing_with_known_truth; test_outputs.py::test_sample_files_generated; test_outputs.py::test_implementation_is_modular; test_outputs.py::test_implementation_handles_errors; test_outputs.py::test_input_validation_functionality; test_outputs.py::test_log_concavity_functionality,True,False,False,timeout_no_pass,False,,,failed,3,False,,,,stream_transport,complete,False,interruption_recorded,True,formal_frozen_inputs,False,False,True,True,True,False,"[""llm_request_timeout""]","[""journal stream_transport: Error: stream transport failed; non-stream recovery failed: [network] LLM fallback request failed (timeout 120s): error sending request for url (https://open.bigmodel.cn/api/paas/v4/chat/completions)"",""stderr contains explicit LLM fallback request timeout""]",True,3,3,False,False,False,False,2025.0,600.0,120.0,[120.0],3,2,False,True,complete,stream_transport_retry_exhausted,,2146.993392,1.218243,75.06478,2001.840682,54.41621,1988.9099999999999,676.673,,35,44,41,3,0,44,0,0,1.0,0.06818181818181818,7.628999999999999,44,1.0,"{""bash"":25,""git"":1,""introspect"":5,""read_file"":2,""reflect"":4,""task_board"":7}","{""bash"":2,""git"":1}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/22b601cf-b072-4388-b673-80957ff0558d/step_events.jsonl,True,30,30,,476215,86775,389440,0,12784,488999,488999,0.817781884232962,server-context-trace+reconciled-details,local-session.pipeline_feedback,session_wide_observed,session_reconciled,True,True,2,0,queried_not_found,,,,,,,,,,476215,,,,,,476215,12784,,,476215,12784,,,
bn-fit-modify,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,bn-fit-modify__JvHn3xU,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU,2026-07-30T06:49:39.622947Z,2026-07-30T06:59:47.190235Z,1,pass,True,True,9,9,0,0,,True,True,True,normal_e2e_pass,False,,,completed,0,True,,completed,0,,partial,True,permission_audit,False,exploratory_unfrozen,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,7200.0,,,[],,,,,,,,607.567288,2.850332,3.284407,528.720806,55.890266,,436.96199999999993,,11,10,9,1,0,10,0,0,1.0,0.1,71.742,10,1.0,"{""bash"":10}","{""bash"":1}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/dc3ef835-de25-4373-87d1-e56a2d12e3d4/step_events.jsonl,True,11,0,0,132621,22989,109632,0,20757,153378,153378,0.8266564118804715,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,132621,132621,22989,109632,0,20757,,,,,132621,20757,132621,109632,20757
break-filter-js-from-html,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,break-filter-js-from-html__pcDUN5g,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g,2026-07-29T16:14:25.594196Z,2026-07-29T16:21:13.719657Z,1,pass,True,True,1,1,0,0,,True,True,True,normal_e2e_pass,False,,,completed,0,True,,completed,0,,partial,True,permission_audit,False,exploratory_unfrozen,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,2400.0,,,[],,,,,,,,408.125461,20.246047,2.97098,351.950165,21.495457,,304.86799999999994,,10,10,9,1,0,10,0,0,1.0,0.1,41.567,10,1.0,"{""bash"":7,""read_file"":2,""write_file"":1}","{""bash"":1}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/aeb17bfa-32a7-4ce9-8653-7d0c1b0be28c/step_events.jsonl,True,10,0,0,124503,21719,102784,0,20624,145127,145127,0.8255544043115427,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,124503,124503,21719,102784,0,20624,,,,,124503,20624,124503,102784,20624
build-cython-ext,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,build-cython-ext__3aBh2uV,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV,2026-07-30T10:15:52.741725Z,2026-07-30T10:34:51.545883Z,1,pass,True,True,11,11,0,0,,True,True,True,normal_e2e_pass,False,,,completed,0,True,,completed,0,,partial,True,permission_audit,False,exploratory_unfrozen,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,1800.0,,,[],,,,,,,,1138.804158,1.593728,4.600837,1108.482934,11.402516,,924.503,,42,62,61,1,0,62,0,0,1.0,0.016129032258064516,160.06900000000002,62,1.0,"{""bash"":29,""grep"":10,""list_dir"":3,""read_file"":18,""str_replace"":2}","{""bash"":1}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/863c6cc1-fe5b-43e0-a5e1-b5a2e3a02fb4/step_events.jsonl,True,42,0,0,1233019,111675,1121344,0,56799,1289818,1289818,0.9094296194949145,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,1233019,1233019,111675,1121344,0,56799,,,,,1233019,56799,1233019,1121344,56799
build-pmars,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,build-pmars__FWjWrmH,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH,2026-07-30T08:04:52.787967Z,2026-07-30T08:30:09.328998Z,0,no_pass,True,True,4,3,1,0,test_outputs.py::test_debian_source_used,True,False,False,completed_no_pass,False,,,completed,0,True,,completed,0,,partial,True,task_lifecycle,False,exploratory_unfrozen,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,1800.0,,,[],,,,,,,,1516.541031,1.982788,6.453809,1483.525082,11.469108,,1354.4650000000004,,52,85,80,5,0,85,0,0,1.0,0.058823529411764705,104.86300000000001,85,1.0,"{""bash"":60,""read_file"":14,""str_replace"":2,""task_board"":9}","{""bash"":5}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/89d608ed-000a-4f11-9596-ccca5bf139ad/step_events.jsonl,True,52,0,0,1261503,150399,1111104,0,75234,1336737,1336737,0.8807779291844728,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,1261503,1261503,150399,1111104,0,75234,,,,,1261503,75234,1261503,1111104,75234
build-pov-ray,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-07-31__16-04-29,build-pov-ray__92VcxjZ,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ,2026-07-31T08:04:30.260785Z,2026-07-31T08:31:13.987135Z,0,no_pass,True,True,3,2,1,0,test_outputs.py::test_povray_built_from_correct_source,True,False,False,completed_no_pass,False,,,completed,0,True,,completed,0,,partial,True,permission_audit,True,formal_frozen_inputs,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,27000.0,600.0,,[],1,0,False,False,complete,,,1603.72635,1.136959,39.376853,1514.520246,35.770351,1507.604,1143.174,,56,76,73,3,0,76,0,0,1.0,0.039473684210526314,345.038,76,1.0,"{""bash"":53,""grep"":5,""read_file"":8,""str_replace"":5,""task_board"":5}","{""bash"":2,""str_replace"":1}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/9c1b45ce-81ad-4c52-a97b-008c3ce39174/step_events.jsonl,True,56,0,0,1765187,168579,1596608,0,45774,1810961,1810961,0.9044979370457634,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,1765187,1765187,168579,1596608,0,45774,,,,,1765187,45774,1765187,1596608,45774
caffe-cifar-10,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,caffe-cifar-10__LEZu2cC,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC,2026-07-30T11:33:04.265755Z,2026-07-30T12:43:07.694409Z,1,pass,True,True,6,6,0,0,,True,False,False,verifier_pass_with_abnormal_lifecycle,False,,,failed,5,False,,interrupted,5,budget_exhausted,complete,False,interruption_recorded,False,exploratory_unfrozen,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,7200.0,,,[],,,,,,,,4203.428654,3.965014,40.286569,4116.922111,29.00602,,577.485,,50,74,71,3,0,74,0,0,1.0,0.04054054054054054,3518.569,74,1.0,"{""bash"":39,""grep"":4,""read_file"":5,""str_replace"":6,""task_board"":19,""write_file"":1}","{""bash"":3}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/df0fb7b5-4fdf-4609-8590-9dc4714e2a58/step_events.jsonl,True,50,50,0,1134985,117257,1017728,0,31036,1166021,1166021,0.8966885024912223,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,1134985,1134985,117257,1017728,0,31036,1134985,31036,,,1134985,31036,,,
cancel-async-tasks,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__00-05-42,cancel-async-tasks__4fjo42J,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J,2026-08-02T16:05:42.868397Z,2026-08-02T16:09:41.176982Z,0,no_pass,True,True,6,5,1,0,test_outputs.py::test_tasks_cancel_above_max_concurrent,True,False,False,completed_no_pass,False,,,completed,0,True,,completed,0,,partial,True,permission_audit,True,formal_frozen_inputs,False,False,False,False,False,False,[],[],False,0,0,False,False,False,False,2025.0,600.0,,[],1,0,False,False,complete,,,238.308585,1.146816,3.48879,191.912692,29.55074,188.986,185.98899999999998,,5,4,4,0,0,4,0,0,1.0,0.0,1.359,4,1.0,"{""bash"":3,""write_file"":1}",{},ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/c82faf32-9af5-4443-96dc-3a0f247a9d55/step_events.jsonl,True,5,0,0,52754,9298,43456,0,13129,65883,65883,0.8237479622398302,server-context-trace+reconciled-details,astra.stdout.json,session_wide_observed,session_reconciled,True,False,0,0,queried_not_found,,,,,,,,,,52754,52754,9298,43456,0,13129,,,,,52754,13129,52754,43456,13129
chess-best-move,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,chess-best-move__FRDxL33,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33,2026-07-29T15:54:29.041735Z,2026-07-29T16:09:32.848875Z,0,no_pass,True,True,1,0,1,0,test_outputs.py::test_move_correct,True,False,False,timeout_no_pass,False,,,failed,3,False,,,,stream_transport,complete,False,interruption_recorded,False,exploratory_unfrozen,False,False,True,True,True,False,"[""llm_request_timeout""]","[""journal stream_transport: Error: stream transport failed; non-stream recovery failed: [network] LLM fallback request failed (timeout 120s): error sending request for url (https://open.bigmodel.cn/api/paas/v4/chat/completions)"",""stderr contains explicit LLM fallback request timeout""]",True,1,1,False,False,False,False,1800.0,,120.0,[120.0],,,,,,,,903.80714,12.797485,2.695577,841.190291,35.218245,,404.589,,8,8,8,0,0,8,0,0,1.0,0.0,1.6059999999999999,8,1.0,"{""bash"":6,""display_sixel"":1,""tool_search"":1}",{},ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/fb506ade-e759-4f02-8afc-76ee51038114/step_events.jsonl,True,7,7,,73893,13221,60672,0,6143,80036,80036,0.8210791279282206,server-context-trace+reconciled-details,local-session.pipeline_feedback,session_wide_observed,session_reconciled,True,True,0,0,queried_not_found,,,,,,,,,,73893,,,,,,73893,6143,,,73893,6143,,,
circuit-fibsqrt,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-08-03__11-07-37,circuit-fibsqrt__bCZJk4C,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C,2026-08-03T03:07:38.588269Z,2026-08-03T03:35:28.468177Z,0,no_pass,True,True,3,2,1,0,test_outputs.py::test_sqrt_fib,True,False,False,timeout_no_pass,False,,,failed,3,False,,,,stream_transport,complete,False,interruption_recorded,True,formal_frozen_inputs,False,False,True,True,True,False,"[""llm_request_timeout""]","[""journal stream_transport: Error: stream transport failed; non-stream recovery failed: [network] LLM fallback request failed (timeout 120s): error sending request for url (https://open.bigmodel.cn/api/paas/v4/chat/completions)"",""stderr contains explicit LLM fallback request timeout""]",True,3,3,False,False,False,False,8100.0,600.0,120.0,[120.0],3,2,False,True,complete,stream_transport_retry_exhausted,,1669.879908,1.953528,3.731037,1628.461421,23.081514,1623.737,320.85400000000004,,28,43,41,2,0,43,0,0,1.0,0.046511627906976744,3.517,43,1.0,"{""bash"":15,""git"":1,""grep"":5,""introspect"":4,""read_file"":11,""reflect"":5,""task_board"":2}","{""bash"":1,""git"":1}",ledger_internally_complete,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__11-07-37/circuit-fibsqrt__bCZJk4C/agent/astra-trajectory/local-sessions/v1/users/b64-bG9jYWw/sessions/83c3aaae-27a2-48d0-8925-860010089374/step_events.jsonl,True,23,23,,353367,63511,289856,0,13982,367349,367349,0.8202690121035637,matrixone.agent_events.llm_response,local-session.pipeline_feedback,server_session_observed,server_reconciled,True,True,2,0,queried_found,23,353367,63511,289856,0,13982,367349,True,0,353367,,,,,,353367,13982,,,353367,13982,,,
